Date,Gender,Age,Conducted,Passed,Pass rate (Percentage)
2008 to 2009,Female,29,"20,979","7,841",37.4
2008 to 2009,Female,30,"18,685","6,657",35.6
2008 to 2009,Female,31,"17,065","5,939",34.8
2008 to 2009,Female,32,"15,880","5,445",34.3
2008 to 2009,Female,33,"14,440","4,892",33.9
2008 to 2009,Female,34,"12,907","4,364",33.8
2008 to 2009,Female,35,"12,176","4,031",33.1
2008 to 2009,Female,36,"11,168","3,752",33.6
2008 to 2009,Female,37,"10,106","3,334",33.0
2008 to 2009,Female,38,"9,132","3,003",32.9
2008 to 2009,Female,39,"8,182","2,637",32.2
2008 to 2009,Female,40,"7,272","2,375",32.7
2008 to 2009,Female,41,"6,265","1,996",31.9
2008 to 2009,Female,42,"5,650","1,765",31.2
2008 to 2009,Female,43,"4,994","1,553",31.1
2008 to 2009,Female,44,"4,485","1,420",31.7
2008 to 2009,Female,45,"4,078","1,242",30.5
2008 to 2009,Female,46,"3,656","1,084",29.6
2008 to 2009,Female,47,"3,176",955,30.1
2008 to 2009,Female,48,"2,924",825,28.2
2008 to 2009,Female,49,"2,453",725,29.6
2008 to 2009,Female,50,"2,207",646,29.3
2008 to 2009,Female,51,"1,956",572,29.2
2008 to 2009,Female,52,"1,622",470,29.0
2008 to 2009,Female,53,"1,598",430,26.9
2008 to 2009,Female,54,"1,324",394,29.8
2008 to 2009,Female,55,"1,106",316,28.6
2008 to 2009,Female,56,"1,039",261,25.1
2008 to 2009,Female,57,903,242,26.8
2008 to 2009,Female,58,702,205,29.2
2008 to 2009,Female,59,622,182,29.3
2008 to 2009,Female,60,597,158,26.5
2008 to 2009,Female,61 and over,"2,751",717,26.1
2008 to 2009,Female,Total,"891,105","375,350",42.1
2008 to 2009,Female,Unknown,[x],[x],[x]
2008 to 2009,Male,16,76,51,67.1
2008 to 2009,Male,17,"210,850","116,231",55.1
2008 to 2009,Male,18,"128,122","62,185",48.5
2008 to 2009,Male,19,"63,842","30,402",47.6
2008 to 2009,Male,20,"43,641","21,097",48.3
2008 to 2009,Male,21,"36,834","17,949",48.7
2008 to 2009,Male,22,"33,121","16,196",48.9
2008 to 2009,Male,23,"30,109","14,925",49.6
2008 to 2009,Male,24,"27,353","13,337",48.8
2008 to 2009,Male,25,"25,973","12,602",48.5
2008 to 2009,Male,26,"24,587","11,679",47.5
2008 to 2009,Male,27,"23,161","10,971",47.4
2008 to 2009,Male,28,"22,117","10,306",46.6
2008 to 2009,Male,29,"19,794","8,861",44.8
2008 to 2009,Male,30,"17,860","7,933",44.4
2008 to 2009,Male,31,"16,131","6,993",43.4
2008 to 2009,Male,32,"14,939","6,485",43.4
2008 to 2009,Male,33,"13,587","5,663",41.7
2008 to 2009,Male,34,"11,858","4,913",41.4
2008 to 2009,Male,35,"10,563","4,423",41.9
2008 to 2009,Male,36,"9,571","3,946",41.2
2008 to 2009,Male,37,"8,383","3,497",41.7
2008 to 2009,Male,38,"7,634","3,125",40.9
2008 to 2009,Male,39,"6,713","2,759",41.1
2008 to 2009,Male,40,"5,984","2,402",40.1
2008 to 2009,Male,41,"5,063","2,046",40.4
2008 to 2009,Male,42,"4,398","1,743",39.6
2008 to 2009,Male,43,"4,189","1,603",38.3
2008 to 2009,Male,44,"3,691","1,448",39.2
2008 to 2009,Male,45,"2,941","1,137",38.7
2008 to 2009,Male,46,"2,785","1,100",39.5
2008 to 2009,Male,47,"2,392",905,37.8
2008 to 2009,Male,48,"2,191",813,37.1
2008 to 2009,Male,49,"1,805",703,38.9
2008 to 2009,Male,50,"1,578",596,37.8
2008 to 2009,Male,51,"1,241",463,37.3
2008 to 2009,Male,52,"1,155",436,37.7
2008 to 2009,Male,53,938,375,40.0
2008 to 2009,Male,54,818,296,36.2
2008 to 2009,Male,55,701,270,38.5
2008 to 2009,Male,56,584,209,35.8
2008 to 2009,Male,57,520,194,37.3
2008 to 2009,Male,58,433,172,39.7
2008 to 2009,Male,59,334,153,45.8
2008 to 2009,Male,60,276,106,38.4
2008 to 2009,Male,61 and over,"1,470",539,36.7
2008 to 2009,Male,Total,"852,306","414,238",48.6
2008 to 2009,Male,Unknown,[x],[x],[x]
2008 to 2009,Total,16,109,73,67.0
2008 to 2009,Total,17,"379,374","204,172",53.8
2008 to 2009,Total,18,"267,095","125,315",46.9
2008 to 2009,Total,19,"136,288","61,374",45.0
2008 to 2009,Total,20,"94,121","42,279",44.9
2008 to 2009,Total,21,"78,468","35,606",45.4
2008 to 2009,Total,22,"71,504","32,349",45.2
2008 to 2009,Total,23,"64,985","29,613",45.6
2008 to 2009,Total,24,"58,074","25,836",44.5
2008 to 2009,Total,25,"54,426","24,339",44.7
2008 to 2009,Total,26,"51,076","22,190",43.4
2008 to 2009,Total,27,"47,667","20,537",43.1
2008 to 2009,Total,28,"45,604","19,170",42.0
2008 to 2009,Total,29,"40,773","16,702",41.0
2008 to 2009,Total,30,"36,545","14,590",39.9
2008 to 2009,Total,31,"33,196","12,932",39.0
2008 to 2009,Total,32,"30,819","11,930",38.7
2008 to 2009,Total,33,"28,027","10,555",37.7
2008 to 2009,Total,34,"24,765","9,277",37.5
2008 to 2009,Total,35,"22,739","8,454",37.2
2008 to 2009,Total,36,"20,739","7,698",37.1
2008 to 2009,Total,37,"18,489","6,831",36.9
2008 to 2009,Total,38,"16,766","6,128",36.6
2008 to 2009,Total,39,"14,895","5,396",36.2
2008 to 2009,Total,40,"13,256","4,777",36.0
2008 to 2009,Total,41,"11,328","4,042",35.7
2008 to 2009,Total,42,"10,048","3,508",34.9
2008 to 2009,Total,43,"9,183","3,156",34.4
2008 to 2009,Total,44,"8,176","2,868",35.1
2008 to 2009,Total,45,"7,019","2,379",33.9
2008 to 2009,Total,46,"6,441","2,184",33.9
2008 to 2009,Total,47,"5,568","1,860",33.4
2008 to 2009,Total,48,"5,115","1,638",32.0
2008 to 2009,Total,49,"4,258","1,428",33.5
2008 to 2009,Total,50,"3,785","1,242",32.8
2008 to 2009,Total,51,"3,197","1,035",32.4
2008 to 2009,Total,52,"2,777",906,32.6
2008 to 2009,Total,53,"2,536",805,31.7
2008 to 2009,Total,54,"2,142",690,32.2
2008 to 2009,Total,55,"1,807",586,32.4
2008 to 2009,Total,56,"1,623",470,29.0
2008 to 2009,Total,57,"1,423",436,30.6
2008 to 2009,Total,58,"1,135",377,33.2
2008 to 2009,Total,59,956,335,35.0
2008 to 2009,Total,60,873,264,30.2
2008 to 2009,Total,61 and over,"4,221","1,256",29.8
2008 to 2009,Total,Total,"1,743,411","789,588",45.3
2008 to 2009,Total,Unknown,[x],[x],[x]
2009 to 2010,Female,16,35,20,57.1
2009 to 2010,Female,17,"156,805","82,933",52.9
2009 to 2010,Female,18,"122,917","56,549",46.0
2009 to 2010,Female,19,"62,942","27,254",43.3
2009 to 2010,Female,20,"41,209","17,397",42.2
2009 to 2010,Female,21,"35,243","15,097",42.8
2009 to 2010,Female,22,"32,017","13,720",42.9
2009 to 2010,Female,23,"29,333","12,415",42.3
2009 to 2010,Female,24,"26,554","11,009",41.5
2009 to 2010,Female,25,"24,345","9,867",40.5
2009 to 2010,Female,26,"23,054","9,210",39.9
2009 to 2010,Female,27,"21,200","8,399",39.6
2009 to 2010,Female,28,"20,104","7,673",38.2
2009 to 2010,Female,29,"19,305","7,138",37.0
2009 to 2010,Female,30,"17,065","6,293",36.9
2009 to 2010,Female,31,"15,283","5,479",35.9
2009 to 2010,Female,32,"13,614","4,732",34.8
2009 to 2010,Female,33,"13,015","4,361",33.5
2009 to 2010,Female,34,"11,585","3,912",33.8
2009 to 2010,Female,35,"10,482","3,511",33.5
2009 to 2010,Female,36,"9,597","3,146",32.8
2009 to 2010,Female,37,"8,753","2,839",32.4
2009 to 2010,Female,38,"7,996","2,652",33.2
2009 to 2010,Female,39,"7,047","2,198",31.2
2009 to 2010,Female,40,"6,207","2,026",32.6
2009 to 2010,Female,41,"5,609","1,821",32.5
2009 to 2010,Female,42,"4,966","1,587",32.0
2009 to 2010,Female,43,"4,273","1,396",32.7
2009 to 2010,Female,44,"3,843","1,208",31.4
2009 to 2010,Female,45,"3,531","1,033",29.3
2009 to 2010,Female,46,"2,997",915,30.5
2009 to 2010,Female,47,"2,662",797,29.9
2009 to 2010,Female,48,"2,333",752,32.2
2009 to 2010,Female,49,"2,287",635,27.8
2009 to 2010,Female,50,"1,718",470,27.4
2009 to 2010,Female,51,"1,640",465,28.4
2009 to 2010,Female,52,"1,445",416,28.8
2009 to 2010,Female,53,"1,434",383,26.7
2009 to 2010,Female,54,"1,021",293,28.7
2009 to 2010,Female,55,949,268,28.2
2009 to 2010,Female,56,744,221,29.7
2009 to 2010,Female,57,741,218,29.4
2009 to 2010,Female,58,584,175,30.0
2009 to 2010,Female,59,427,120,28.1
2009 to 2010,Female,60,460,136,29.6
2009 to 2010,Female,61 and over,"2,349",617,26.3
2009 to 2010,Female,Total,"781,825","333,806",42.7
2009 to 2010,Female,Unknown,105,50,47.6
2009 to 2010,Male,16,109,57,52.3
2009 to 2010,Male,17,"190,731","106,096",55.6
2009 to 2010,Male,18,"112,876","54,927",48.7
2009 to 2010,Male,19,"55,711","26,900",48.3
2009 to 2010,Male,20,"36,212","17,513",48.4
2009 to 2010,Male,21,"31,375","15,678",50.0
2009 to 2010,Male,22,"28,108","13,954",49.6
2009 to 2010,Male,23,"25,463","12,740",50.0
2009 to 2010,Male,24,"23,874","11,719",49.1
2009 to 2010,Male,25,"22,694","10,990",48.4
2009 to 2010,Male,26,"21,860","10,506",48.1
2009 to 2010,Male,27,"20,813","9,898",47.6
2009 to 2010,Male,28,"19,135","8,859",46.3
2009 to 2010,Male,29,"18,165","8,357",46.0
2009 to 2010,Male,30,"16,816","7,542",44.9
2009 to 2010,Male,31,"14,520","6,432",44.3
2009 to 2010,Male,32,"13,110","5,685",43.4
2009 to 2010,Male,33,"11,988","5,165",43.1
2009 to 2010,Male,34,"10,972","4,583",41.8
2009 to 2010,Male,35,"9,665","4,073",42.1
2009 to 2010,Male,36,"8,398","3,480",41.4
2009 to 2010,Male,37,"7,521","3,119",41.5
2009 to 2010,Male,38,"6,769","2,889",42.7
2009 to 2010,Male,39,"6,174","2,493",40.4
2009 to 2010,Male,40,"5,182","2,161",41.7
2009 to 2010,Male,41,"4,621","1,870",40.5
2009 to 2010,Male,42,"3,871","1,624",42.0
2009 to 2010,Male,43,"3,554","1,481",41.7
2009 to 2010,Male,44,"3,288","1,300",39.5
2009 to 2010,Male,45,"2,860","1,143",40.0
2009 to 2010,Male,46,"2,507",916,36.5
2009 to 2010,Male,47,"2,320",916,39.5
2009 to 2010,Male,48,"1,927",731,37.9
2009 to 2010,Male,49,"1,754",649,37.0
2009 to 2010,Male,50,"1,416",550,38.8
2009 to 2010,Male,51,"1,237",482,39.0
2009 to 2010,Male,52,"1,057",396,37.5
2009 to 2010,Male,53,940,326,34.7
2009 to 2010,Male,54,731,301,41.2
2009 to 2010,Male,55,722,263,36.4
2009 to 2010,Male,56,559,196,35.1
2009 to 2010,Male,57,404,168,41.6
2009 to 2010,Male,58,402,153,38.1
2009 to 2010,Male,59,325,117,36.0
2009 to 2010,Male,60,275,112,40.7
2009 to 2010,Male,61 and over,"1,526",586,38.4
2009 to 2010,Male,Total,"754,640","370,151",49.1
2009 to 2010,Male,Unknown,103,55,53.4
2009 to 2010,Total,16,144,77,53.5
2009 to 2010,Total,17,"347,020","189,029",54.4
2009 to 2010,Total,18,"235,420","111,476",47.3
2009 to 2010,Total,19,"118,489","54,154",45.6
2009 to 2010,Total,20,"77,308","34,910",45.1
2009 to 2010,Total,21,"66,519","30,775",46.2
2009 to 2010,Total,22,"60,036","27,674",46.0
2009 to 2010,Total,23,"54,722","25,155",45.9
2009 to 2010,Total,24,"50,355","22,728",45.1
2009 to 2010,Total,25,"46,954","20,857",44.3
2009 to 2010,Total,26,"44,839","19,716",43.9
2009 to 2010,Total,27,"41,944","18,297",43.6
2009 to 2010,Total,28,"39,183","16,532",42.1
2009 to 2010,Total,29,"37,380","15,495",41.4
2009 to 2010,Total,30,"33,824","13,835",40.8
2009 to 2010,Total,31,"29,757","11,911",40.0
2009 to 2010,Total,32,"26,657","10,417",39.0
2009 to 2010,Total,33,"24,937","9,526",38.1
2009 to 2010,Total,34,"22,521","8,495",37.7
2009 to 2010,Total,35,"20,100","7,584",37.6
2009 to 2010,Total,36,"17,957","6,626",36.8
2009 to 2010,Total,37,"16,246","5,958",36.6
2009 to 2010,Total,38,"14,744","5,541",37.5
2009 to 2010,Total,39,"13,202","4,691",35.5
2009 to 2010,Total,40,"11,367","4,187",36.8
2009 to 2010,Total,41,"10,214","3,691",36.1
2009 to 2010,Total,42,"8,824","3,211",36.3
2009 to 2010,Total,43,"7,801","2,877",36.8
2009 to 2010,Total,44,"7,117","2,508",35.2
2009 to 2010,Total,45,"6,384","2,176",34.0
2009 to 2010,Total,46,"5,488","1,831",33.3
2009 to 2010,Total,47,"4,970","1,713",34.4
2009 to 2010,Total,48,"4,251","1,483",34.8
2009 to 2010,Total,49,"4,035","1,284",31.8
2009 to 2010,Total,50,"3,124","1,020",32.5
2009 to 2010,Total,51,"2,866",947,32.9
2009 to 2010,Total,52,"2,499",812,32.5
2009 to 2010,Total,53,"2,367",709,29.9
2009 to 2010,Total,54,"1,747",594,33.9
2009 to 2010,Total,55,"1,667",531,31.8
2009 to 2010,Total,56,"1,301",417,32.0
2009 to 2010,Total,57,"1,143",386,33.7
2009 to 2010,Total,58,985,328,33.3
2009 to 2010,Total,59,751,237,31.5
2009 to 2010,Total,60,733,248,33.7
2009 to 2010,Total,61 and over,"3,862","1,203",31.1
2009 to 2010,Total,Total,"1,534,051","703,957",45.8
2009 to 2010,Total,Unknown,297,105,50.5
2010 to 2011,Female,16,59,28,47.5
2010 to 2011,Female,17,"153,296","81,956",53.5
2010 to 2011,Female,18,"130,703","61,446",47.0
2010 to 2011,Female,19,"68,429","30,266",44.2
2010 to 2011,Female,20,"44,945","19,515",43.4
2010 to 2011,Female,21,"36,726","16,226",44.2
2010 to 2011,Female,22,"34,257","15,074",44.0
2010 to 2011,Female,23,"31,470","13,747",43.7
2010 to 2011,Female,24,"28,127","12,215",43.4
2010 to 2011,Female,25,"26,327","11,003",41.8
2010 to 2011,Female,26,"24,305","9,969",41.0
2010 to 2011,Female,27,"23,510","9,271",39.4
2010 to 2011,Female,28,"22,266","8,730",39.2
2010 to 2011,Female,29,"21,203","8,027",37.9
2010 to 2011,Female,30,"20,073","7,485",37.3
2010 to 2011,Female,31,"18,075","6,562",36.3
2010 to 2011,Female,32,"16,057","5,600",34.9
2010 to 2011,Female,33,"14,085","4,850",34.4
2010 to 2011,Female,34,"13,212","4,488",34.0
2010 to 2011,Female,35,"12,160","4,047",33.3
2010 to 2011,Female,36,"10,843","3,508",32.4
2010 to 2011,Female,37,"9,945","3,306",33.2
2010 to 2011,Female,38,"8,948","2,907",32.5
2010 to 2011,Female,39,"7,911","2,571",32.5
2010 to 2011,Female,40,"7,301","2,284",31.3
2010 to 2011,Female,41,"6,295","2,026",32.2
2010 to 2011,Female,42,"5,443","1,753",32.2
2010 to 2011,Female,43,"4,761","1,486",31.2
2010 to 2011,Female,44,"4,154","1,293",31.1
2010 to 2011,Female,45,"3,975","1,251",31.5
2010 to 2011,Female,46,"3,448","1,036",30.0
2010 to 2011,Female,47,"2,982",959,32.2
2010 to 2011,Female,48,"2,659",790,29.7
2010 to 2011,Female,49,"2,346",681,29.0
2010 to 2011,Female,50,"2,101",638,30.4
2010 to 2011,Female,51,"1,730",538,31.1
2010 to 2011,Female,52,"1,471",432,29.4
2010 to 2011,Female,53,"1,359",427,31.4
2010 to 2011,Female,54,"1,175",332,28.3
2010 to 2011,Female,55,980,312,31.8
2010 to 2011,Female,56,875,261,29.8
2010 to 2011,Female,57,741,184,24.8
2010 to 2011,Female,58,592,180,30.4
2010 to 2011,Female,59,562,150,26.7
2010 to 2011,Female,60,468,128,27.4
2010 to 2011,Female,61 and over,"2,353",654,27.8
2010 to 2011,Female,Total,"834,833","360,639",43.2
2010 to 2011,Female,Unknown,130,47,36.2
2010 to 2011,Male,16,86,57,66.3
2010 to 2011,Male,17,"176,895","99,876",56.5
2010 to 2011,Male,18,"116,802","58,029",49.7
2010 to 2011,Male,19,"58,900","28,838",49.0
2010 to 2011,Male,20,"38,676","19,159",49.5
2010 to 2011,Male,21,"32,227","16,227",50.4
2010 to 2011,Male,22,"29,307","14,865",50.7
2010 to 2011,Male,23,"26,411","13,387",50.7
2010 to 2011,Male,24,"24,741","12,352",49.9
2010 to 2011,Male,25,"24,350","11,979",49.2
2010 to 2011,Male,26,"22,914","11,106",48.5
2010 to 2011,Male,27,"21,538","10,413",48.3
2010 to 2011,Male,28,"20,677","9,667",46.8
2010 to 2011,Male,29,"19,367","8,995",46.4
2010 to 2011,Male,30,"18,408","8,336",45.3
2010 to 2011,Male,31,"16,281","7,363",45.2
2010 to 2011,Male,32,"14,597","6,409",43.9
2010 to 2011,Male,33,"12,531","5,508",44.0
2010 to 2011,Male,34,"11,437","4,902",42.9
2010 to 2011,Male,35,"10,716","4,410",41.2
2010 to 2011,Male,36,"9,406","3,911",41.6
2010 to 2011,Male,37,"8,164","3,405",41.7
2010 to 2011,Male,38,"7,132","3,027",42.4
2010 to 2011,Male,39,"6,582","2,703",41.1
2010 to 2011,Male,40,"6,022","2,412",40.1
2010 to 2011,Male,41,"4,960","2,101",42.4
2010 to 2011,Male,42,"4,480","1,812",40.4
2010 to 2011,Male,43,"3,870","1,578",40.8
2010 to 2011,Male,44,"3,345","1,357",40.6
2010 to 2011,Male,45,"3,277","1,299",39.6
2010 to 2011,Male,46,"2,814","1,151",40.9
2010 to 2011,Male,47,"2,486",970,39.0
2010 to 2011,Male,48,"2,077",803,38.7
2010 to 2011,Male,49,"1,945",745,38.3
2010 to 2011,Male,50,"1,743",615,35.3
2010 to 2011,Male,51,"1,356",530,39.1
2010 to 2011,Male,52,"1,220",474,38.9
2010 to 2011,Male,53,989,394,39.8
2010 to 2011,Male,54,848,303,35.7
2010 to 2011,Male,55,676,265,39.2
2010 to 2011,Male,56,651,251,38.6
2010 to 2011,Male,57,542,223,41.1
2010 to 2011,Male,58,453,168,37.1
2010 to 2011,Male,59,357,146,40.9
2010 to 2011,Male,60,315,149,47.3
2010 to 2011,Male,61 and over,"1,874",705,37.6
2010 to 2011,Male,Total,"774,537","383,417",49.5
2010 to 2011,Male,Unknown,92,42,45.7
2010 to 2011,Total,16,144,85,58.6
2010 to 2011,Total,17,"329,307","181,832",55.1
2010 to 2011,Total,18,"246,937","119,475",48.3
2010 to 2011,Total,19,"127,107","59,104",46.4
2010 to 2011,Total,20,"83,465","38,674",46.2
2010 to 2011,Total,21,"68,861","32,453",47.1
2010 to 2011,Total,22,"63,477","29,939",47.1
2010 to 2011,Total,23,"57,817","27,134",46.9
2010 to 2011,Total,24,"52,782","24,567",46.5
2010 to 2011,Total,25,"50,567","22,982",45.3
2010 to 2011,Total,26,"47,130","21,075",44.6
2010 to 2011,Total,27,"44,947","19,684",43.7
2010 to 2011,Total,28,"42,836","18,397",42.8
2010 to 2011,Total,29,"40,453","17,022",42.0
2010 to 2011,Total,30,"38,378","15,821",41.1
2010 to 2011,Total,31,"34,267","13,925",40.5
2010 to 2011,Total,32,"30,560","12,009",39.2
2010 to 2011,Total,33,"26,517","10,358",38.9
2010 to 2011,Total,34,"24,579","9,390",38.1
2010 to 2011,Total,35,"22,803","8,457",37.0
2010 to 2011,Total,36,"20,194","7,419",36.6
2010 to 2011,Total,37,"18,053","6,711",37.1
2010 to 2011,Total,38,"16,026","5,934",36.9
2010 to 2011,Total,39,"14,437","5,274",36.4
2010 to 2011,Total,40,"13,272","4,696",35.2
2010 to 2011,Total,41,"11,227","4,127",36.7
2010 to 2011,Total,42,"9,894","3,565",35.9
